	id	tweet
293	1463295045696585730	#Hate to see it, but when you're #right, you're right. The Prime Minister Prime Minister  The PM  Keir Starmer  Shamima Begum Moderna The NHS #Covid_19 #PMQs #politicslive Insulate Britain #WorldPrematurityDay https://t.co/YgjN6sluNS
295	1464019875416969217	The latest Vitamin D3 Daily! https://t.co/QUrAdocAmQ Thanks to @fluxcapdoodah @Black_Dragon123 @Sandlewud #covid #vitamin
306	1463294910082301956	The Covid lab leak theory just got even stronger https://t.co/yuXs5I5jAv #Covid19 #Wuhan
333	1464020676994469889	Good for him...he should mail the letter to the mayor now!  Los Angeles firefighter accused of wiping butt with COVID non-compliance letter https://t.co/BUGXJAXWec via @nypost
334	1464020343069179904	🔴 BREAKING!!!  New heavily mutated #COVID variant is discovered in South Africa.                   https://t.co/Kx9PzKF2Ap #Brooklyn #Bronx #Queens #Miami #Orlando #Latinos #Houston #Columbus #Seattle #Spokane #Belltown #Tacoma #LosAngeles #Denver #Chicago #Phoenix #Pittsburgh
335	1463657996156760076	They were my happy place when I had covid. Praying for their safety and good health, always. 🖤💖  #GetWellSoonLisa #BLACKPINK https://t.co/RO2DnRdnOt
336	1464020896142835713	‘More women will get cancer’: Covid cuts cervical screening rates in half https://t.co/JcLOvZwR8y
346	1463658499955585025	ALIEN AGENDA 101:  COVID19 &amp; THE TRANSHUMAN AGENDA https://t.co/ge7cm1aJT5
372	1463295378732859393	Just like the truth about 911 is out there, so shall the Covid truth be out there. Dark always comes to light!
407	1463296098420862982	Covid What? Brandon Who? https://t.co/MGH0dMfbDj
478	1463658096451010565	61% 3pt on G #dazedgaming #pzgd #xbox #PS4share #PS5Share #nftcollectors #eThekwini #Ethereum #BTC #BTSxLateLateShow #Bitcoin #BlackFriday #TejRan #BNB #altcoins #2kcommunity #2kcrewfinder #NBA #COVID19 #Covid #SHIB #SHIBA #Solana #SOL #dogecoin #cryptoban #cryptocurrecy #win #rt https://t.co/0MIohnrnya
546	1463658570818670592	"India set to ban cryptocurrencies - The proposed bill ""seeks to prohibit all private cryptocurrencies in India,"" the Lok Sabha said and comes after Prime... - https://t.co/28FJ19ux9V https://t.co/HtaNRbHcwz"
549	1464020279252996102	So who all did aligners in covid
556	1463657986900082688	HOW OFTEN DO TWIN PREGNANCIES OCCUR? | Prevalence and Epidemiology https://t.co/DzcX2dPrEp via @YouTube #MacysParade Thanksgiving #AhmaudArbery UConn #dinnerbutter #WaukeshaMassacre #MCIPSG Peyton Manning Battlenet Thiago Le Creuset Salvation Army Covid Toe
565	1463658573242646530	ALIEN AGENDA 101:  &amp; THE TRANSHUMAN AGENDA https://t.co/ge7cm1aJT5
597	1464019503852011521	"nothing to see here, believe your ""leaders"" https://t.co/Cup9H3sa0u"
601	1463657250065637379	covid got hands
609	1464019452769439762	New Research: Towards a Living Lab for Enhanced Thermal Comfort and Air Quality: Analyses of Standard Occupancy, Weather Extremes, and COVID-19 Pandemic https://t.co/67r0c2XmSz #Envsci
626	1463295757004513281	I Bought Myself A Politician by .@MonaLisa_Twins. #GreatReset #COVID19 https://t.co/lVtY6gDKZr
628	1463657433612500996	FISM News | November 24, 2021  https://t.co/VDwk3rsBnQ  #RNC #DNC #Biden #airtravel #GuinnessWorldRecords #COVID19 #cybersecurity #supplychain #BRITs #Walmart #MacysParade #NFL #Thanksgiving
643	1464019693065359367	This weekend has an air of “never go back” about it.  First did Norwich away in 2017. Midweek, we were flying and won comfortably, took afternoon and morning off, great sesh with the old man.  This feels like a banana skin. Old man just pulled out with Covid. Dean Smith. Unsure..
644	1463658227506241537	Those twins named Corona and Covid are almost 2 now…
645	1463657483189493761	Myanmar cuts deal with biggest investor - Protesters take part in a torch demonstration against the military coup in Yangon on November 18, 2021. AFP PHOTO YANGON: A Myanmar... - https://t.co/Gsk5T157gJ https://t.co/TlxcZitHt4
653	1464020908402790405	The Gold Coast and Sunshine Coast are the most searched regional areas on realestate .com.au in the year to September 2021 🏖  #eliteagent #eliteagentmag #realestate #realestateagent https://t.co/Ibhb14kJeK
1007	1463295275116728321	Intensely dislike Amazon’s involvement here: “Sununu also announced what he said was a first-of-its-kind agreement with Amazon to provide delivery for one million at-home testing kits.” https://t.co/7mtM0xx3AU
1008	1463657826249850881	Breddas… dem pickney ya weh afi a go school inna Covid? Mek me glad me ole causeeeeee
1019	1464020814328594435	All-Cause Mortality Doesn't Lie - by Metatron - COVID Facts https://t.co/bQETZiVAqN
1032	1464020654915612673	New coronavirus variant discovered in South Africa via  ⁦@nytimes⁩  https://t.co/asopOVxRgu
1033	1463295560669143041	#COVID19 delivers acute awareness of #HealthDisparity We can do better - add #MedicationAccess to reduce disparity. https://t.co/2L7GFds7qw https://t.co/7ZOOHQLRI0
1034	1464020479832903691	World’s biggest Ikea opens in Philippines after Covid-19 induced delay https://t.co/bjtXmcEQzR
1035	1463296250338430978	covid 19: Why some are out to prove their pneumonia isn’t Covid | India News – Times of India https://t.co/OTfLJJ8iiq
1036	1463295559134064647	New Mexico COVID Cases Increase To 306,743 Deaths To 5,289 - New Mexico (2019-nCoV) - Recombinomics Inc. https://t.co/mPV8pPMKf1
1037	1463658144232448000	New Zealand Will Reopen to Tourists Within Months https://t.co/zJJywClT9L https://t.co/3ht4ugVmdp
1038	1464020198520852480	#BlackLivesMatter #MAGA #2A #Alberta #Ontario #Toronto #covid19 #Covid_19 #cancer #corruption Wake #science #Australia #Arizona #Israel #murder #children  Propaganda supports a group when it's convenient to the top. They use people. They will turn against blacks when they want to https://t.co/SHZoRmkBS8
1039	1463657433306386440	Today's cases as Kiwis overseas prepare to flock home  https://t.co/KppKZe5rv9
1040	1463657817324208128	Continued facts on immunizations..Symptoms will be much harsher especially with the high risk group. Plus you can and most likely will get covid more than once. Chances of permanent damage to you body such as organs, lungs or loss of taste or smell, permanently!
1041	1463295069226737670	We are partnering with @TreesForHouston for a community tree planting to honor those we’ve lost to #COVID19. 8,000 seedlings will be available to anyone who wishes to plant one in the community – to represent the more than 8,000 people we have lost. https://t.co/Ikil1NrytQ https://t.co/ArGaz5LJW8
1042	1463295577915990017	Woke up early morning thinking what‘s going to happen in WA, keeping borders closed has meant hardly any one has natural immunity to covid and with vaccines not working that puts us in a vulnerable position, why can’t government see, am I being paranoid…
1043	1464020943978872836	S․Africa COVID variant worries UK, Israel https://t.co/SO0PoHUinx via @canberratimes
1044	1464019758144274437	European States Extend Boosters, Tighten Restrictions Amid COVID Outbreak | Coronavirus pandemic News https://t.co/XgEXNNUw2t
1045	1463658592028999682	COVID-19: Second Star From Popular TV Show Ousted For Refusing To Get Vaccine #NewsBreak https://t.co/OAhCcLxq8m
1046	1464019582151188482	Excellent @ADBSocial review of recent lessons on #socialprotection #Covid responses in the #Philippines 🇵🇭   Gudmalin et al: https://t.co/8i03pgfa0i https://t.co/NgkPhv1lFm
1047	1463295545246633990	If you are an Erie Co. bar or restaurant requiring proof of vaccination for entry, there are many of us on your side and we will patronize your establishment! We all prefer to be comfortable and safe. Please tweet with #vaccinatedpatronsonly so we can easily find you.
1048	1464020335725101062	When hear hear someone you know is very sick with Covid then you find out they were a  anti-vaxer, what are your thoughts?
1049	1464020311792259080	New covid varient#B11529 need to rethink boarder!
1050	1463295030790033412	So the pediatric Covid 19 Vaccine for ages 5-11 Pfizer can be booked in Alberta as of Tomorrow Morning for appointments starting Friday. Doses 8 weeks apart. That being said this age group will NOT be included in the Covid restrictions and exemptions programs in Alberta.
1051	1464020751158231042	Covid-19: Six African countries added to NI travel red list https://t.co/ZmZp68nb1H
1052	1464019856106295322	I lost my best mate during COVID from a difference of opinion. I know words can hurt but I miss him dearly.    I hope if he’s reading this out there, I hope you can see we can still be mates even though we see things from a different perspective.   Love ya bruv #chicksluvit
1053	1464019793695150090	Scientists in South Africa have discovered a new variant with several mutations, terming it a variant of “serious concern.”  https://t.co/kLYQOyRvl2
1054	1464020447113195520	"New COVID variant: ""This is the most concerning variant I've seen since the beginning of the pandemic,"" Prof Ravi Gupta (@GuptaR_lab) tells @ITVNews this evening. https://t.co/5rqrdqRD8m"
1055	1463294956311924736	JUST IN: Another 324 cases of COVID-19 have been recorded in British Columbia along with one additional death, health officials said Tuesday.  https://t.co/BBT5hBiI0w
1056	1464020424942141443	Travellers from South Africa, Namibia, Lesotho, Botswana, Eswatini and Zimbabwe will see new restrictions imposed amid new #Covid variant scare https://t.co/gXZW56RS0m
1057	1463657819866025986	Pfizer sues departing employee it says stole COVID-19 vaccine secrets https://t.co/LP6q8vuOmv
1058	1463295795139072006	In Germany, the Head of the Chemnitz Clinic, Dr Thomas Jendges, committed suicide saying he no longer wants to be part of the Genocide happening vis the COVID-19 Vaccine. https://t.co/li2ji16vzJ
1059	1464020768677720068	Canada's mask guidance has changed. Here's why you might need an upgrade | CBC News https://t.co/STcwlZrIap
1060	1464019765232553984	Enough is enough ! Demonstrations and protests against forced vaccination and sanitary segregation in many European countries. Here we have Croatia, Zagreb, where the POLICE joined the demonstration. https://t.co/du2xvlJu9e
1061	1463657848655818754	I am on a flight. The woman next to me asked me to put my mask on after I was done eating my fruit snacks. I rolled my eyes and she said “don’t roll your eyes.”   I said DON’T TELL ME WHAT TO DO WITH MY EYES.  Pity those still in the COVID cult.
1062	1464020473642205190	are u an official pfizer doll? @MILI0NARIA
1063	1463658276361588741	This is Called Projection - Dr. Fauci Gets Gold Star for Lying - mRNA Inventor Dr. Robert Malone Blames Fauci and US Covid Team of 500,000 Unnecessary Deaths (VIDEO) https://t.co/BKN4jH0Y8g via @gatewaypundit
1064	1464020863351623692	It’s 4 pm and the covid vaccine/mask debate is in full force. God damnit
1065	1463657730842009605	Disney complies with Florida law, forgoes proof of vaccination for employees – Right Side Broadcasting Network (RSBN) https://t.co/ShSJPtRCAX
1066	1463658428426031106	Never seen in Ofsted report: ‘The support given by teaching and non-teaching staff to the emotional wellbeing and academic progress of the children is outstanding and has ensured that the impact of Covid has been minimal. They are ready for the challenge of an uncertain future.’
1067	1464019901270482944	How to navigate tricky conversations about COVID vaccines at Christmas time https://t.co/EVAq03SDOl @ABCaustralia  #Covid As XMAS approaches, alot of us find ourselves in these most difficult conversatns. A good read. Good luck with yr challenges.🥂
1068	1464019739185930243	#Tokyo November #CPI +0.5% yoy vs +0.1% prior, #Core CPI +0.3%, slightly lower than expected.  #USDJPY trading lower to 115.10 in early Tokyo on the back of risk-off move after a report of new #COVID19 variant detected in South Africa.
1069	1464020093734690822	There are two types of terrified people tonight. One is the Covid bedwetters terrified of the new varient. Type two is those terrified about whats really going on.
1070	1464019499523330054	Covid Restrictions and Mandates Imposed by “the whims of public health bureaucrats” are Illegal, Missouri Court Rules https://t.co/IbRy0gb8sg via @brownstoneinst
1071	1464020007248093197	‘South Park: Post Covid’ Sneak Peek Sees Future Stan &amp; Randy Up To No Good   https://t.co/Mlq749aecD via @Deadline  #ParamountPlus #SouthParkPostCovid
1072	1463657453426458626	Scientists warn of new Covid variant with high number of mutations https://t.co/aIxTmaa4wN
1073	1464020970839105536	Honestly early retirement or taking all that vacation you never took is a great option if possible.  Cause covid here to stay
1074	1463657936790695943	When gammon want #terrorists to all be #muslim so bad you ignore the #fact they're #christians &amp; just keep coming up with stupid #reasons they're probably muslims. The Prime Minister  Keir Starmer Shamima Begum Moderna The NHS #Covid_19 #PMQs #politicslive #WorldPrematurityDay
1075	1463295107390742531	COVID has descended upon our house due to anti-vaxxers. I JUST about had the one hold out in my house convinced and then he went home to see his anti-vaccine fam and he got COVID from them. *sigh* #HappyThanksgiving
1076	1464019559191564289	No one :  Covid-19 : https://t.co/EyNLgK1hi0
1077	1464020081088761862	Enough Of The Turkey, Let’s Get Back To Our Game With Thoughts On Hockey: from Eiiotte Friedman of Sportsnet, - It’s now a daily question: “What are you hearing about the Olympics?” The answer: more and more concern. There’s the COVID issue and the moral… https://t.co/phEAx6Ln95
1078	1463294939299729412	JUST IN: Another 324 cases of COVID-19 have been recorded in British Columbia along with one additional death, health officials said Tuesday.  https://t.co/ePuhZ1MTW5
1079	1464020508723326983	The EU is proposing that EU digital COVID certs would be valid for travel for nine months after a second vaccine dose. https://t.co/MaSPXwnV3K
1080	1464019971344941076	Not now, heavily mutated variant B.1.1.529 raising concern.  Covid: New heavily mutated variant B.1.1.529 in South Africa raises concern https://t.co/yeBsyuVi7F
1081	1463657248723542021	cadee spread covid through her butterfly kisses🤫🤫 -xoxo gossip girl
1082	1463296029294485516	The New Yorker: Fauci Urges Americans to Use COVID as Excuse to Skip Thanksgiving with Horrible Relatives. https://t.co/LLs8lZ7TNr  via @GoogleNews
1083	1463295842505224198	Covid heavy lifting. https://t.co/0Oo1GsW0fc via @weebly
1084	1463658609712193537	63% UK COVID Hospitalizations Vaccinated &amp; COVID Jab Can Induce Immune Suppression 50% Of The Time https://t.co/JUxxFMowtY #LBRY
1085	1463657466521178115	Tell me why my manager thinks it’s ok to “hide” the fact that a staff member is at home on quarantine protocol being a primary contact of a COVID-positive person… these ppl is something else yes…
1086	1463657447714091008	"LTO firm on license renewal policy - ""It should not result in additional expense or inconvenience,"" LTO Chief Assistant Secretary Edgar Galvante said, following... - https://t.co/Y7bhXCgb7S https://t.co/4ZuTT8Q6I3"
1087	1464020864157233154	Britain will bar flights from six African countries as it investigates a new variant. - But he said that the six nations will be added to the country’s red list, which would require British travelers coming from those n... - https://t.co/5DzX9h1LA4 https://t.co/xAY0l3UqCY
1088	1463295945555144705	https://t.co/VEslNEo3Zi Keep this trending as many dont know about this and yes it was the govt also and why we also are leary of the Covid injections also, but if it is mandatory I will take we mines also, and why doesn't Conservatives want to take it @TwitterSupport
1089	1463295199925448706	In order to be considered fully vaccinated by the deadline, students should receive the second dose of Moderna or Pfizer, or a single dose of Johnson &amp; Johnson by January 4, 2022. https://t.co/6OuBIx3ixP
1090	1464020071781601282	COVID-19: Parents not granted special leave under Sask. legislation to get children vaccinated  | https://t.co/WL6g5WgPIW https://t.co/Wj7Tb4NWRK
1091	1464020344935632897	More crippling than the effects of #covid is the intellectual incompetence of the few.  Who fail to appreciate their ilk is at risk.
1092	1463657844826423305	i want to join enstars yaoi fanfic ideas space but i’m waiting for my covid booster
1093	1464020732283920390	In late 2019, early 2020, folks on Twitter who paid attention were aware that we were looking at the possibility of a pandemic.   So if we are talking about a new and improved Covid, that might render our testing and vaccines moot, I'm definitely paying attention.
1094	1464020739141488646	Special radiation can kill COVID-19 and polio virus, Israeli study shows https://t.co/UeGQsVFdWn
1095	1464020485914701825	Are politicians thick, the reason COVID is high in the SW and Wales is due to staycation, people holidayed in these areas #bbcqt
1096	1463295863481159685	Soaring gas prices, not COVID, may be the reason many stay home for Thanksgiving this year https://t.co/GnzSnc7EAR via @houstonchron
1097	1463658091912708096	Austria’s Covid Surge Is a Warning to the World | WIRED https://t.co/dy3pdndBtG
1098	1464019998721155073	JUST IN: British Columbia reported another 424 new cases of COVID-19 on Thursday, along with three additional deaths.  https://t.co/df8ldq9ieN
1099	1464020754584981505	Im waiting to see the Texas border wall of shipping containers will stop the 20.000 people caravan from entering our country, This time there killing anyone who trys to stop them, 4 Mexican police killed by them &amp; citizens, 50% have the covid fever &amp; most are very sick !!
1100	1463657857010880520	B.C. reports 322 new COVID-19 cases, 9 more deaths. https://t.co/22XcdlRiS2
1101	1463295941625233414	Germany Is Facing Its Worst Pandemic Moment Yet as Covid Surges in Europe - Barron's https://t.co/OlcWezdZxG
1102	1463658475083509762	Seeing #family for #Thanksgiving? There's still time to get your rapid at-home #COVID19 tests, but hurry and call ahead!-supplies are low! At home tests can allow you to enjoy your gathering this year w/o the worry of loved ones getting infected! https://t.co/n2TIAFg7nT
1103	1463295905843585035	Father lord i want you come to the young and old people of the world and heal them too many deaths of covid 🙏🏾🥺🕊
1104	1463296185087758337	EXC: Gates Foundation Sent Over $54 Million To China Since COVID, Including To Wuhan Collaborators. https://t.co/E3BE1q7cd0  https://t.co/DpFez4hSVj
1105	1464019827438280712	Watched the clip. And Aaron Rodgers did not seem like he was joking! Now he claims he was. https://t.co/UdFeEY6RUj
1106	1463295415286214656	Victoria records 1,196 new Covid cases and three deaths as the 90 percent vaccination milestone approaches https://t.co/u0xDuXEJx5
1107	1463657320420986887	covid: Cabinet extends free Covid-time foodgrain plan till March 2022 | India News – Times of India https://t.co/doMoElfGE7
1108	1464020553380028423	NYTimes https://t.co/Hru5fLKot1
1109	1463657956873023488	When It Comes To COVID Vaccines, It Is Better To Educate Than To Mandate https://t.co/I4qf5yf7uk
1110	1464020143923630085	I don't think he's on here but Bruce Lochore, Pres of the NZ Motor Caravan Association is a TOP MAN. Twice now (last year and this year) he has sent out newsletters across the membership asking them all to consider &amp; respect the needs of our community in the face of covid. ❤️
1111	1463296000689381379	moderna is f***ing my armpit UP
1112	1463295447573962753	Man get this bts thing off my tl, i'd rather have covid again than seeing this shit
1113	1463658534424481797	I keep wonderin if covid didnt happen and i kept my internship how different would i be
1114	1464019496612470787	What will the future hold? Paramount+ is now streaming SOUTH PARK: POST COVID https://t.co/xKpRNNTYna
1115	1463295858573778954	Arizona Attorney General Mark Brnovich asks a reporter if he has an STD after being asked about vaccination status. Mr Brnovich is taking legal action against US Gov against mandates. https://t.co/ymg5crtLHH #coronavirus #COVID19 #VaccineSideEffects #VaccineMandates #Covid
1116	1463295528444252164	⁦@KathyHochul⁩ just institute mandates. Upstate counties need the crackdown to stop the surge. Warning not helping. Even if every unvaxxed person got it today, it would still be almost two months b4 fully vaxxed, and holidays. #covid  https://t.co/7LDWqnGFpU
1117	1464020870188486657	//holy shit it’s been forever, somethin tells me I could revive adult!Kendra thanks to the post covid special 🤔
1118	1463658297517555712	Right about where Trump had it, before covid.  Biden ain't did anything,  except....bungled Afghanistan,  the border, energy,  inflation., etc.
1119	1464020089527840773	Multisystem inflammatory syndrome (MIS) is a new systemic inflammatory acute onset disease that mainly affects children https://t.co/SvFeJ8QTsV #COVID19 #Vaccin
1120	1463657513656672258	New Covid variant with 32 ‘horrific’ mutations detected in Africa amid fears it could escape vaccines🙏😷 #SmartNews  https://t.co/9pRcM7znLe
1121	1464019672077148164	New story on NPR: New coronavirus variant in South Africa raises concern https://t.co/FziGV8i7VM
1122	1463657684553678854	Although our shop closed due to lock down currently, we still remain mobile service. In order to make sure everyone safe during this time, we promise that all auto glass services we offer are contactless.  https://t.co/iDyulliTKP https://t.co/q6idrfaGje
1123	1464019407710167044	An excellent editorial cartoon worth re-upping today:  https://t.co/DEFbQXRFFV https://t.co/H90a9yz6aD
1124	1464020280179838981	Most of NSW restrictions to lift as state hits 95 per cent vaccination rate | 9 News Australia https://t.co/92dW551lSR
1125	1463657370882564101	Aaron Rodgers Is Dealing With ‘Covid Toe’ &amp; Fans Say It’s From ‘Sticking Your Foot In Your Mouth’ #SmartNews  https://t.co/mnmSQ5IlCe
1126	1463295867096637444	Felt a little off and was worried I had covid but then my dad cured me with a cocktail with Chartreuse in it, so that's probably normal and fine.
1127	1463657712278192128	"Educator-photographer collaborates with students for satirical photo set in online exhibit - ""Javier, who has been with Benilde since 2010, is one of the faculty members from the New Media Cluster who heeded the call for... - https://t.co/saqiHI9uzi https://t.co/6eoWhJipIB"
1128	1463295507829346316	The state of South Dakota wants to spend part of its $1 billion federal coronavirus relief package on health care — but the proposed projects aren't directly aimed at ending the pandemic.  https://t.co/3vVSLTAjIw
1129	1464019707934117904	Felony Crimes End Pharma Immunity: US Criminal Conspiracy Strikes Root Of Covid Nightmare https://t.co/FWwoZKblCP via @BitChute
1130	1463658462139719682	Fuck COVID !! Ong that shit be ruining everything
1131	1463296101495316481	Covid-19: Why is Europe witnessing a resurgence in cases https://t.co/7SdTMirWeU
1132	1464020312169717762	Covid in the 2039 https://t.co/Gk7jHfqHUh
1133	1464020671298621442	Reverend Jude Benton has tirelessly worked helping the community of Mallacoota over an extremely difficult two years 👏 #BlackSummer #ClimateCrisis  #COVID19  https://t.co/uljhavRRbD
1134	1463295855579049986	Steve Burton Fired From 'General Hospital' Over COVID Vaccine Mandate - Variety https://t.co/EZojWAPLPV
1135	1463295149430099973	Covid test came back negative. Didn't think I had it but had to make sure.
1136	1463295796246454283	So, I've been largely absent from Twitter today.  For a reason - my nephew has COVID and I watched him today while the family was attending my niece's out of county basketball game.  He's fine, just too young to be left alone all day with the adults an hour away.
1137	1464020464028708864	B.C. reports 424 more COVID-19 cases Thursday, 3 deaths https://t.co/gQZe7dkTVU
1138	1463657432887009286	I wonder how many consider themselves to be something like suicide bombers, risking their own lives in order to damage society in a way that will discredit rulers they don't like.  https://t.co/XtzolnoGIj
1139	1464019742486712320	Covid: New heavily mutated variant B.1.1.529 in South Africa raises concern  https://t.co/wieVEjqI76
1140	1463294865836548098	👀⬇️🇬🇧Safe and Effective they say!   @McGiff @FatEmperor @calvinrobinson @LadyNarrowboat1 @beforethestars @stevejb183 @IanCockerill2 @ai_clayton @lorrain00414525 @LadyNarrowboat1   https://t.co/gW0vqRcv1S
1141	1463294961147805703	One of the keys to stopping tyrannical covid policies, will be the self governing women who take back authority from corrupt politicians https://t.co/PKRAZqaP4R
1142	1463657362212990977	: After ‘workers left in the dark,’ Amazon warehouse COVID-19 case notifications to be monitored by California AG https://t.co/MYOtAVmQpL https://t.co/g2B5vGVF8C
1143	1463295833206571015	Medical insurance &amp; passport and covid passport at the ready and my pink slip.. Gotta be ready..
1144	1463658258225254402	To whoever gave me Covid ya moms a hoe bc I will not be able to eat the thanksgiving meal this year
1145	1463296189143605253	READ MY NEW OP-ED: IRREVERSIBLE – Many Effects Of COVID19 Are Permanent Evidence shows that COVID19 may cause extreme damage to the brain, kidneys, lungs, liver, heart, &amp; can cause amputations from blood clots, onset diabetes,&amp; erectile dysfunction. https://t.co/shBvjpzR9U 51 https://t.co/5JmlPfRyol
1146	1464020393765834760	Welsh regions scramble to leave South Africa before even playing a match as season plunged into chaos amid dramatic Covid development https://t.co/l4wBsgwfqb
1147	1463658573662203904	As vaccination efforts falter, the U.S. must get serious about Covid-19 testing and reporting https://t.co/AHCPwxNiFJ via @statnews
1148	1464020726239932420	Breaking News: A new variant of the coronavirus, whose mutations display a “jump in evolution,” is driving a spike in Covid infections in South Africa. - via @NYTimes https://t.co/GI8yGDH5CD
1149	1464020662369067018	We don't know this yet. The school is out. These reports have been driven by the immoderate language of scientists, in advance of evidence. However, an abundance of caution is indicated given the  failure of #UKGovernment  to act on Delta variant. https://t.co/mJRhf38VwW
1150	1463657702660337667	“covid toe” 🤢... so much for my short-lived foot fetish lol https://t.co/4xDatpe2Yw
1151	1464020948638654468	Covid Live Updates: South Africa Identifies New Variant https://t.co/aabGXQTjcL
1152	1463657696335314945	B.C. records 9 more deaths, 322 new COVID-19 infections https://t.co/MXPE9B99YT
1153	1464019585041010700	I've been looking for the town ,country ,city ,river or lake called Covid ,because that's usually how they name viruses. Science has usually named them for where they originated from ,but that wasn't convenient for China.
1154	1463295355701792772	Actions the public can take, the health leaders said, include get the COVID-19 vaccine; get a booster if it's six months or more since you've been fully vaccinated; get a flu shot; wear a mask whether vaccinated or not; and get tested early for COVID-19.
1155	1463296056939229188	SNEAK PEEK: 'Covid-19' TV Limbo https://t.co/3H1J4ewyAG
